,model,superposition_ratio,masking_ratio,log_likelihood
89,slm_sparse_150epochs,0.5,0.25,-0.02463308349251747
90,slm_sparse_150epochs,0.5,0.30000000000000004,-0.03109719604253769
91,slm_sparse_150epochs,0.5,0.35000000000000003,-0.042802948504686356
92,slm_sparse_150epochs,0.5,0.4,-0.059582121670246124
93,slm_sparse_150epochs,0.5,0.45,-0.07597537338733673
94,slm_sparse_150epochs,0.5,0.5,-0.10005298256874084
95,slm_sparse_150epochs,0.5,0.55,-0.1280837208032608
96,slm_sparse_150epochs,0.5,0.6000000000000001,-0.1535906344652176
97,slm_sparse_150epochs,0.5,0.65,-0.19023309648036957
98,slm_sparse_150epochs,0.5,0.7000000000000001,-0.22168540954589844
99,slm_sparse_150epochs,0.5,0.75,-0.2690383493900299
100,slm_sparse_150epochs,0.5,0.8,-0.3189747631549835
101,slm_sparse_150epochs,0.5,0.8500000000000001,-0.37394699454307556
102,slm_sparse_150epochs,0.5,0.9,-0.43022093176841736
103,slm_sparse_150epochs,0.5,0.9500000000000001,-0.5083032250404358
104,slm_sparse_150epochs,0.5,1.0,-0.6866536736488342
105,slm_sparse_150epochs,0.9,0.0,0.0
106,slm_sparse_150epochs,0.9,0.05,-0.0005536267999559641
107,slm_sparse_150epochs,0.9,0.1,-0.0014067923184484243
108,slm_sparse_150epochs,0.9,0.15000000000000002,-0.0022897133603692055
109,slm_sparse_150epochs,0.9,0.2,-0.004010356497019529
110,slm_sparse_150epochs,0.9,0.25,-0.006017564795911312
111,slm_sparse_150epochs,0.9,0.30000000000000004,-0.006318002473562956
112,slm_sparse_150epochs,0.9,0.35000000000000003,-0.00998467393219471
113,slm_sparse_150epochs,0.9,0.4,-0.01176115870475769
114,slm_sparse_150epochs,0.9,0.45,-0.014816321432590485
115,slm_sparse_150epochs,0.9,0.5,-0.018945975229144096
116,slm_sparse_150epochs,0.9,0.55,-0.024353547021746635
117,slm_sparse_150epochs,0.9,0.6000000000000001,-0.027148688212037086
118,slm_sparse_150epochs,0.9,0.65,-0.03322060406208038
119,slm_sparse_150epochs,0.9,0.7000000000000001,-0.039656344801187515
120,slm_sparse_150epochs,0.9,0.75,-0.04982976242899895
121,slm_sparse_150epochs,0.9,0.8,-0.060992494225502014
122,slm_sparse_150epochs,0.9,0.8500000000000001,-0.07060132175683975
123,slm_sparse_150epochs,0.9,0.9,-0.08769858628511429
124,slm_sparse_150epochs,0.9,0.9500000000000001,-0.10651656240224838
125,slm_sparse_150epochs,0.9,1.0,-0.14221234619617462
126,slm_mixed_150epochs,0.0,0.0,0.0
127,slm_mixed_150epochs,0.0,0.05,-0.003958192653954029
128,slm_mixed_150epochs,0.0,0.1,-0.008875775150954723
129,slm_mixed_150epochs,0.0,0.15000000000000002,-0.015766290947794914
130,slm_mixed_150epochs,0.0,0.2,-0.025941187515854836
131,slm_mixed_150epochs,0.0,0.25,-0.038287822157144547
132,slm_mixed_150epochs,0.0,0.30000000000000004,-0.050672631710767746
133,slm_mixed_150epochs,0.0,0.35000000000000003,-0.07047560065984726
134,slm_mixed_150epochs,0.0,0.4,-0.09698347747325897
135,slm_mixed_150epochs,0.0,0.45,-0.12663604319095612
136,slm_mixed_150epochs,0.0,0.5,-0.1674792617559433
137,slm_mixed_150epochs,0.0,0.55,-0.21736934781074524
138,slm_mixed_150epochs,0.0,0.6000000000000001,-0.2651437819004059
139,slm_mixed_150epochs,0.0,0.65,-0.3329470455646515
140,slm_mixed_150epochs,0.0,0.7000000000000001,-0.4006522595882416
141,slm_mixed_150epochs,0.0,0.75,-0.4955538809299469
142,slm_mixed_150epochs,0.0,0.8,-0.6091151237487793
143,slm_mixed_150epochs,0.0,0.8500000000000001,-0.7427533268928528
144,slm_mixed_150epochs,0.0,0.9,-0.9294244050979614
145,slm_mixed_150epochs,0.0,0.9500000000000001,-1.1702187061309814
146,slm_mixed_150epochs,0.0,1.0,-2.027729034423828
147,slm_mixed_150epochs,0.5,0.0,0.0
148,slm_mixed_150epochs,0.5,0.05,-0.0024888389743864536
149,slm_mixed_150epochs,0.5,0.1,-0.005375201813876629
150,slm_mixed_150epochs,0.5,0.15000000000000002,-0.009777230210602283
151,slm_mixed_150epochs,0.5,0.2,-0.016311638057231903
152,slm_mixed_150epochs,0.5,0.25,-0.024061907082796097
153,slm_mixed_150epochs,0.5,0.30000000000000004,-0.030722375959157944
154,slm_mixed_150epochs,0.5,0.35000000000000003,-0.04312103986740112
155,slm_mixed_150epochs,0.5,0.4,-0.058981094509363174
156,slm_mixed_150epochs,0.5,0.45,-0.07628243416547775
157,slm_mixed_150epochs,0.5,0.5,-0.10074882209300995
158,slm_mixed_150epochs,0.5,0.55,-0.1300075203180313
159,slm_mixed_150epochs,0.5,0.6000000000000001,-0.15492455661296844
160,slm_mixed_150epochs,0.5,0.65,-0.19403721392154694
161,slm_mixed_150epochs,0.5,0.7000000000000001,-0.22731570899486542
162,slm_mixed_150epochs,0.5,0.75,-0.2760728597640991
163,slm_mixed_150epochs,0.5,0.8,-0.3280087113380432
164,slm_mixed_150epochs,0.5,0.8500000000000001,-0.3842289447784424
165,slm_mixed_150epochs,0.5,0.9,-0.4417150616645813
166,slm_mixed_150epochs,0.5,0.9500000000000001,-0.5216800570487976
167,slm_mixed_150epochs,0.5,1.0,-0.7204000353813171
168,slm_mixed_150epochs,0.9,0.0,0.0
169,slm_mixed_150epochs,0.9,0.05,-0.0005515899392776191
170,slm_mixed_150epochs,0.9,0.1,-0.0013451186241582036
171,slm_mixed_150epochs,0.9,0.15000000000000002,-0.0021895645186305046
172,slm_mixed_150epochs,0.9,0.2,-0.004057785961776972
173,slm_mixed_150epochs,0.9,0.25,-0.0056752669624984264
174,slm_mixed_150epochs,0.9,0.30000000000000004,-0.006421705707907677
175,slm_mixed_150epochs,0.9,0.35000000000000003,-0.010262511670589447
176,slm_mixed_150epochs,0.9,0.4,-0.01269257627427578
177,slm_mixed_150epochs,0.9,0.45,-0.016355125233530998
178,slm_mixed_150epochs,0.9,0.5,-0.021382126957178116
179,slm_mixed_150epochs,0.9,0.55,-0.028150543570518494
180,slm_mixed_150epochs,0.9,0.6000000000000001,-0.032670971006155014
181,slm_mixed_150epochs,0.9,0.65,-0.040886759757995605
182,slm_mixed_150epochs,0.9,0.7000000000000001,-0.04910996928811073
183,slm_mixed_150epochs,0.9,0.75,-0.06136607751250267
184,slm_mixed_150epochs,0.9,0.8,-0.07458587735891342
185,slm_mixed_150epochs,0.9,0.8500000000000001,-0.08682728558778763
186,slm_mixed_150epochs,0.9,0.9,-0.10662039369344711
187,slm_mixed_150epochs,0.9,0.9500000000000001,-0.12975673377513885
188,slm_mixed_150epochs,0.9,1.0,-0.16829364001750946
189,slm_full_150epochs,0.0,0.0,0.0
190,slm_full_150epochs,0.0,0.05,-0.0036454498767852783
191,slm_full_150epochs,0.0,0.1,-0.008395662531256676
192,slm_full_150epochs,0.0,0.15000000000000002,-0.014838118106126785
193,slm_full_150epochs,0.0,0.2,-0.024970516562461853
194,slm_full_150epochs,0.0,0.25,-0.03660833090543747
195,slm_full_150epochs,0.0,0.30000000000000004,-0.048587825149297714
196,slm_full_150epochs,0.0,0.35000000000000003,-0.06794682890176773
197,slm_full_150epochs,0.0,0.4,-0.09498600661754608
198,slm_full_150epochs,0.0,0.45,-0.12394239753484726
199,slm_full_150epochs,0.0,0.5,-0.16464164853096008
200,slm_full_150epochs,0.0,0.55,-0.2138626128435135
201,slm_full_150epochs,0.0,0.6000000000000001,-0.26213350892066956
202,slm_full_150epochs,0.0,0.65,-0.328657865524292
203,slm_full_150epochs,0.0,0.7000000000000001,-0.3969809114933014
204,slm_full_150epochs,0.0,0.75,-0.4943085014820099
205,slm_full_150epochs,0.0,0.8,-0.6058957576751709
206,slm_full_150epochs,0.0,0.8500000000000001,-0.7405091524124146
207,slm_full_150epochs,0.0,0.9,-0.9275686144828796
208,slm_full_150epochs,0.0,0.9500000000000001,-1.169309377670288
209,slm_full_150epochs,0.0,1.0,-2.0275282859802246
