,model,superposition_ratio,masking_ratio,log_likelihood
0,mlm_150epochs,0.0,0.0,0.0
1,mlm_150epochs,0.0,0.05,-0.003660822520032525
2,mlm_150epochs,0.0,0.1,-0.008467581123113632
3,mlm_150epochs,0.0,0.15000000000000002,-0.015113809145987034
4,mlm_150epochs,0.0,0.2,-0.024843616411089897
5,mlm_150epochs,0.0,0.25,-0.036916766315698624
6,mlm_150epochs,0.0,0.30000000000000004,-0.04892105609178543
7,mlm_150epochs,0.0,0.35000000000000003,-0.06765224039554596
8,mlm_150epochs,0.0,0.4,-0.09474927186965942
9,mlm_150epochs,0.0,0.45,-0.12404089421033859
10,mlm_150epochs,0.0,0.5,-0.16406387090682983
11,mlm_150epochs,0.0,0.55,-0.2139713019132614
12,mlm_150epochs,0.0,0.6000000000000001,-0.2621663510799408
13,mlm_150epochs,0.0,0.65,-0.32943668961524963
14,mlm_150epochs,0.0,0.7000000000000001,-0.397849977016449
15,mlm_150epochs,0.0,0.75,-0.49307721853256226
16,mlm_150epochs,0.0,0.8,-0.6055407524108887
17,mlm_150epochs,0.0,0.8500000000000001,-0.7402616143226624
18,mlm_150epochs,0.0,0.9,-0.9287018179893494
19,mlm_150epochs,0.0,0.9500000000000001,-1.164933443069458
20,mlm_150epochs,0.0,1.0,-2.0284690856933594
21,mlm_150epochs,0.5,0.0,0.0
22,mlm_150epochs,0.5,0.05,-0.0023021670058369637
23,mlm_150epochs,0.5,0.1,-0.005327869206666946
24,mlm_150epochs,0.5,0.15000000000000002,-0.009666708298027515
25,mlm_150epochs,0.5,0.2,-0.016568245366215706
26,mlm_150epochs,0.5,0.25,-0.02509327605366707
27,mlm_150epochs,0.5,0.30000000000000004,-0.0331302173435688
28,mlm_150epochs,0.5,0.35000000000000003,-0.04645848274230957
29,mlm_150epochs,0.5,0.4,-0.06626064330339432
30,mlm_150epochs,0.5,0.45,-0.08790971338748932
31,mlm_150epochs,0.5,0.5,-0.1174546480178833
32,mlm_150epochs,0.5,0.55,-0.1548413634300232
33,mlm_150epochs,0.5,0.6000000000000001,-0.19095100462436676
34,mlm_150epochs,0.5,0.65,-0.24209950864315033
